overall,title,reviewText,asin,parent_asin,reviewerID,timestamp,helpful_vote,verified_purchase,review_length
5.0,Works great!,"Works great with my pixel 2, I can charge quickly while listening to music.",B07FCZY1ZB,B07FCZY1ZB,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1544200044036,0,True,75
4.0,good and cheap,Had for about a month now. Still running strong and keeping my twc ultimate internet on all 8 of my houses devices. Goes through three rooms and I'll lose just a small fraction of speed (10mbps loss for a ranch style house).,B001FWYGJS,B001FWYGJS,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1427592277000,0,True,224
5.0,Glad I browsed through Amazon and found it,Works perfectly: Glad I browsed through Amazon and found it:,B079Y46M3N,B079Y46M3N,AEFKF6R2GUSK2AWPSWRR4ZO36JVQ,1532071498050,0,True,60
5.0,Great tablet!,This replaced an old Ipad that I had and it is so much better.  Really fast and has a crisp/clear display,B01MSPQ4TL,B075LX7S6B,AHCPZDDPHJE3G7M6ST5WGRPLXHOA,1548623818849,0,True,105
5.0,Apple charging wires,"The multiple lengths come in handy for different uses. The 3 foot wire is perfect for in the car while the 6 &.10 foot wires are perfect for the desk, couch, or bed.",B093D8MB4X,B0C5XK6534,AHOEIYJJHZ7ITX75BOFQYNXVVJQQ,1661433539246,0,True,165
5.0,"Best Quality, great price","Well made bag which will only get better the older it gets.  Love it, my grandson was thrilled with this bag when I gave it to him.  people who saw it, believed it cost way more than it did.  great purchase.",B078BX25RR,B09DTP4L96,AH6PLOGWYIVIWLJTY756BHNFD4YA,1599267820882,0,True,207
5.0,Great keyboard.,"Love this keyboard.  Easy to type on and not to much bigger than the wireless keyboard I was using.  Best of all, though, I can easily see it.  Keys have a great 'feel' to them.  Wished I would have found this product years ago!",B0068LWHPQ,B0068LWHPQ,AH6PLOGWYIVIWLJTY756BHNFD4YA,1331655933000,5,True,228
2.0,Not very well made,"When I saw this RCA charging dock, I jumped to get it. Normally, I work from home and use one or two plugs to keep all of my Apple items charged throughout the day (rotating them betwen plugs). When I saw this charging dock, I thought it would be a great way to connect my iphone, keep it upright for viewing ease, and keep the phone charged all day long. First, although the picture looks good, the item is cheaply made plastic, which I guess would normally be ok for something like this (although to me in the picture it looked a little sturdier). The 30 point connection does not work well. I had to rock my phone several times to get it start charging (it wasn't easy to see if it is connected properly). Having a charging light on the base would have been a nice-have, but of course there isn't one. I then tried my ipod in there. I found that a little easier to connect, but still takes several attempts of getting it to the right angle to make it work right. To be honest, I think it is just a matter of time before this breaks (given the difficulty I have in connecting). I would honestly say to spend your money elsewhere. This item is not worth the investment.",B005EWB3XW,B00XIUKJDW,AFSKPY37N3C43SOI5IEXEK5JSIYA,1355251751000,0,False,1170
4.0,"Great camera for the money - good, solid features","I want to begin by saying I own a Canon Rebel which I love and use all the time. I wanted to get a second camera which also took great pictures but that was lower priced and better for me to take on extended travel without all my lenses). The Fujifilm FinePix is a good camera. For around the $200 price range, you get a high quality camera with good picture taking quality (14 MP, EVF, 30 times zoom capability). It is easy to learn and use and makes an excellent entry level camera with high quality features (would make a great graduation gift for a high schooler to introduce them to a higher level of picture taking than a simple point and shoot). It is a little large and plasticy, but overall I do recommend it for a good second camera or, as I mentioned, to someone looking to enter the SLR market (but not ready to spend $600+).",B006TR0FCQ,B00A4QXIRM,AFSKPY37N3C43SOI5IEXEK5JSIYA,1349799652000,3,False,837
4.0,Probably great for a professional,"I was in the market for a new camera and when I saw this bag in the Vine program I thought I would snap it up. I did get my Canon Rebel (thanks Amazon!) and several lenses to boot (in preparation for my trip this month to Israel). Although the quality of the bag is good, the size to me is really inconvenient. First, it is shaped like a back pack, which makes it kind of big. I am not sure if I am going to be able to bring this on the plane with me (as the boarding guidelines state 1 carry-on and I have a purse and laptop I am bringing). In addition, there are straps and zippered compartments which are not really conveniently placed. It's not an easy bag to get your gear in and out of. I see this bag as a great tool to have if you are backpacking as you have a place to hang a tripod and there is a small storage area if you wanted to bring a snack with you. But for someone like me, who wants it for sightseeing/traveling, I think a more conventional camera bag would have done the trick better.",B0036AWR8E,B00BWH2SWI,AFSKPY37N3C43SOI5IEXEK5JSIYA,1286448109000,0,False,1004
5.0,Good sound,This is a nice speaker- I am bummed because I ordered the red and I received the blue- I didn’t want to deal with returning it because I wanted it right away for an outing. It is bigger than I thought- But I can clip it to my belt and walk or hike and it is nice and loud. No instructions came with it but you can figure it out and it synced right up.,B071RWJ39R,B078G91T8X,AGCPAPUHXYA3EEIL2KGSQTGO5HRA,1594588475042,0,True,351
5.0,GREAT SOUND,I got this for my son-in-law's birthday and he took it to the beach the next weekend.  He was very pleased with the sound quality and everything about it.,B01MSYQWNY,B099V8GPR4,AGKFRCDY4WBW4RH6GFYFJ3T3XBSA,1624408055619,0,True,154
1.0,not easy to tweak,there are lots of settings that had to be changed via tech support and they couldnt get it going good either  so i returned it and it was such a BIG unit  took up way too much space,B019WAQMVY,B09JKYBVJD,AHGAOIZVODNHYMNCBV4DECZH42UQ,1546876520404,0,True,181
3.0,nice,"very small which i wanted  but i only hear sound from ONE speaker on my TV  .. but for the price ill keep them  i like the size  ...  its for a 19""  TV  so  it works  sounds better than the TV speaker  i gotta see if i can figure out the settings inside the TV  maybe its just single  ill look on the TV remote later  but  sound from both speakers woulda been nice  i mean otherwise what is the point !",B06XDSMDKV,B06XDSMDKV,AHGAOIZVODNHYMNCBV4DECZH42UQ,1536880603696,0,True,402
