overall,title,reviewText,asin,parent_asin,reviewerID,timestamp,helpful_vote,verified_purchase,review_length
5.0,Works great!,"Works great with my pixel 2, I can charge quickly while listening to music.",B07FCZY1ZB,B07FCZY1ZB,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1544200044036,0,True,75
5.0,Apple charging wires,"The multiple lengths come in handy for different uses. The 3 foot wire is perfect for in the car while the 6 &.10 foot wires are perfect for the desk, couch, or bed.",B093D8MB4X,B0C5XK6534,AHOEIYJJHZ7ITX75BOFQYNXVVJQQ,1661433539246,0,True,165
3.0,nice,"very small which i wanted  but i only hear sound from ONE speaker on my TV  .. but for the price ill keep them  i like the size  ...  its for a 19""  TV  so  it works  sounds better than the TV speaker  i gotta see if i can figure out the settings inside the TV  maybe its just single  ill look on the TV remote later  but  sound from both speakers woulda been nice  i mean otherwise what is the point !",B06XDSMDKV,B06XDSMDKV,AHGAOIZVODNHYMNCBV4DECZH42UQ,1536880603696,0,True,402
5.0,Love this!,"With my laptop that has a touch screen, I gave up my monitor at my docking station and use this stand to allow me to easily see the screen and touch it while using a full-sized keyboard.  It's perfect for my needs and has held up well over the last 5 or so months.  HIGHLY RECOMMENDED!",B00WRDS8H0,B0753R71ZH,AG5Y7PRM4OD7TC23Q6S7KMNL2XNQ,1578769962297,0,True,285
5.0,Great devise!,"Very easy to set up and easy for all devises to connect to it.  This device, while expensive, really worked as advertised.",B0087NZ31S,B0087NZ31S,AGLQDDJTHRGIY4KWEXLA3YBD47PQ,1388074756000,1,True,122
4.0,Works perfectly,"This is advertised as an ergonomic keyboard.  To me, ergonomic is a keyboard that is split into two slanted halves, like the Microsoft Natural Keyboard.  This is a flat keyboard.  In spite of that, the keys have a good feel and response.  I only have wired keyboards, so I got this so that I could have a wireless if I wanted to use one sometimes, as you are then not confined with a cord.  Requires 1 AA battery to operate (not included).  At first, I thought they forgot to include the wireless transmitter, but it comes hidden in the battery compartment.  This is okay, but there is no place to store it once the battery is installed.  Of course, if you are going to store the keyboard and not use it all the time, you wouldn't typically want to leave the battery in anyway.  If you want wireless, probably better to get a wireless mouse and keyboard together, as they would probably run off one transmitter, whereas with this keyboard if I want to add a wireless mouse later, it will involve using a second transmitter which would use another USB port.  The keyboard is going to be of limited use to me, as I currently use a KVM-switch that allows me to control up to 4 computers with one monitor, one mouse and one keyboard.  I would have to upgrade to a KVM switch that takes USB to use the keyboard on more than one computer.  This is truly plug and play and I had it operating in no time at all.  Seems like it is quality made and should last a while.  Made in China of course.",B09N7532L7,B09N7532L7,AFAIJYOUO3NAWLBDIKTQSC3DASWA,1649383427515,0,False,1485
5.0,An amazing e-Book reader with numerous extras.,"I received a Kindle 2 as a gift recently. I'd had my eye on the Kindle since its launch, but couldn't justify the high price tag. I use several forms of portable technology including an HTC touchscreen smartphone, but the Kindle 2 was my first eBook reader. Opening the Kindle 2 was an experience: Amazon has cleverly packaged the Kindle in minimally wasteful packaging; the box itself is very clever and space-saving, and the USB cord is tucked into the two-prong adapter (so if, like me, you initially think that they forgot to include the USB cable, just pop the prong adapter off the end).<br /><br />First, the size: the Kindle 2 measures about 8 inches by 5 inches by .36 (it's literally thinner than a Number 2 pencil), so it's about the same size as a paperback without the thickness (or the weight). It weighs only 10.2 ounces, so it's easy to slide it into a large purse or backpack. The display is large and crystal clear, but is only in black and white, so if you're getting magazine or newspaper subscriptions, be aware. There are sixteen shades of grey, though, so photos and illustrations have a lot of depth and contrast despite being in black and white. There are six different text sizes available if you have problems with too-small fonts, but the Kindle screen isn't backlit, so this won't work in low light without a reading light. There's also the controversial text-to-speech feature, which is the same technology that's come with Windows OS for years; a synthesized voice (male or female) will ""read"" the text out loud (there's a 3.5mm headphone jack if you want to listen in private). After the Authors' Guilld threatened to sue Amazon.com over the feature, publishers have the right to disable it on Kindle versions, so be aware that the text-to-speech feature may not work on all Kindle books.<br /><br />You can purchase and download Kindle books instantly using the Kindle 2's free Whispernet (an EVDO modem with fallback to 1xRTT that uses's Sprint's 3G network). Most New York Times Bestsellers are available in Kindle editions, which are typically $9.99. There are no Kindle rentals; once you've downloaded the book, it's yours. However, there are numerous free Kindle books to be found on Amazon.com and elsewhere; simply click on the Kindle Books tab at Amazon.com and set to sort by price ($0.00 titles show up first). Many of the free Kindle texts are based on older (think 19th-century) authors and are transcribed by volunteers, so they may not be exactly what you were expecting. You can either purchase Kindle books from your PC and have them sent wirelessly to your Kindle, or you can browse and purchase directly from the Kindle, but be careful: Kindle books are purchased via 1-click, which means that you could accidentally purchase something you'd only intended to look at. The download time depends on the size of the book; for a text-only book, it took less than a minute to download. When  I downloaded a larger book with illustrations, it took several minutes.<br /><br />Reading on the Kindle is much like reading a paperback; the Kindle ""disappears"" as you read. However, the page turning is a bit jarring, since every time you turn a page, the screen flashes in contrast (at first I thought that it was some sort of flaw or bug). The previous page button is on the left edge, while there's a next page button on both sides of the Kindle, so page turning is easy (other than the screen flashing). On the downside, you can't flip several pages ahead easily without repeatedly clicking the ""next"" button. With a real paperback, you'd simply thumb through the pages.<br /><br />There is no expandable memory slot, but the Kindle 2 features 2GB (1.4 GB for user content) of internal memory that will hold up to 1,500 books as well as documents (PDF, HTML, DOC, JPEG, GIF, PNG, BMP through conversion) and MP3 music and AAX Audible audiobook files. You can even set up customized MP3 music playlists (it's under ""experimental"") by dragging files into the ""Music"" folder on the Kindle by hooking it up to your PC via the included USB 2.0 cable. If you have documents that are in another format (the Kindle native format is .AZW), you have two choices for conversion: either e-mail the documents to your Kindle e-mail (your regular e-mail ended with @kindle.com) for a ten-cent conversion charge (you'll be billed when your conversion balance reaches $3.00) or to your email @free.kindle.com (you then must drag-and-drop the file onto your Kindle from your PC, but there's no fee to convert the file).<br /><br />The Kindle also features a basic Web browser that handles text-only versions fairly well, and a built-in dictionary. You're able to highlight, put in page markers and add notes to Kindle books, making it a useful tool for study or research. There's a full QWERTY keyboard and a five-way toggle that takes some getting used to. The menu designs are drop down similar to Windows; you simply move through the various options using the five-way controller, then press down on it to select.<br /><br />The battery can hold a charge for up to four days with the Whispernet on; you'll get a much longer charge if you turn it off. It takes about three hours to fully charge the battery, but it's not user-replaceable; you have to mail your Kindle to Amazon.com for a replacement. The battery is covered for the first year after purchase, but it's $59 after that. The Kindle 2 also doesn't come with [[ASIN:B001JAH7OM Amazon Kindle 2 Leather Cover]], for which you'll have to shell out extra money unless you choose to store it in the box.<br /><br />If you love new technology and are looking for new ways to read / listen on the go, the Kindle 2 may be a good choice for you. But besides the initial expense, the Kindle versions of paperbacks are as expensive as their paper counterparts. Depending on your area, the Whispernet may not have a strong signal (and for now, the Kindle 2 is only available in the US, so overseas customers will have to wait). I love mine, but it's up to you whether it's worth the cost of the Kindle 2 and book downloads.",B00154JDAI,B00154JDAI,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,1240780195000,2,False,6100
1.0,Stopped charging,3 of these cords stopped charging!,B01N9P860N,B01N9P860N,AHNTNORB4V4WEELIYXTSKV56Y4AA,1634080424805,0,True,34
4.0,Perfect!,"My son has a small record player and about a dozen albums. He and my husband put this together rather quickly. The directions were clear. They did use their own tools. It's sturdy and it looks great! It's a huge improvement over the small end table that he was using. Not only does it look better, but it has a place to store his albums. I think he'll actually listen to more records now because it's so convenient.",B09SPJGPVQ,B09SPJGPVQ,AHV6QCNBJNSGLATP56JAWJ3C4G2A,1655859459712,0,False,415
5.0,Great buy,Great variety of stickers. Stay on well. Smaller than expected but still cute. :),B07Y1SNHQW,B07Y1SNHQW,AHYB7U5MR2OG5BJPAVS5K5AZQCSA,1594180300597,1,True,81
